pdf,doi,title,publisher,year,access
acsomega.2c06142,10.1021/acsomega.2c06142,"Synthesis, Molecular Docking, Dynamics, Quantum-Chemical Computation, and Antimicrobial Activity Studies of Some New Benzimidazole–Thiadiazole Hybrids",American Chemical Society (ACS),2022,1
s41598-022-21435-6,10.1038/s41598-022-21435-6,Quinoline–imidazole/benzimidazole derivatives as dual-/multi-targeting hybrids inhibitors with anticancer and antimicrobial activity,Springer Science and Business Media LLC,2022,1
d2ra06667j,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",Royal Society of Chemistry (RSC),2022,1
s13065-018-0479-1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",Springer Science and Business Media LLC,2018,1
RJC.2023.1638382,10.31788/RJC.2023.1638382,ANTIBACTERIAL POTENTIAL OF BENZIMIDAZOLE CONTAINING HYBRID DERIVATIVES,Rasayan Journal of Chemistry,2023,1
antibiotics10081002,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1
antibiotics12071220,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1
2023.12.si5a.0471,10.48047/ecb/2023.12.si5a.0471,"QSAR, MOLECULAR DOCKING, AND ADME STUDIES OF BENZIMIDAZOLE DERIVATIVES AS ANTIBACTERIAL AGENTS",Deuton-X Ltd,2023,1
intechopen.108949,10.5772/intechopen.108949,Current Development in the Synthesis of Benzimidazole-Quinoline Hybrid Analogues and Their Biological Applications,IntechOpen,2023,1
