pdf,doi,title,journal,year,access
Li2020,10.1002/anie.202009714,Manipulating Light-Induced Dynamic Macro-Movement and Static Photonic Properties within 1D Isostructural Hydrogen-Bonded Molecular Cocrystals,Angewandte Chemie International Edition,2020,1
Qu2024,10.1016/j.cej.2024.151902,Construction of fungicide nano delivery platform through crystal engineering for sustainable fungal control,Chemical Engineering Journal,2024,1
Nugrahani2024,10.1016/j.heliyon.2024.e33280,"New proportion of levofloxacin citrate: Structural, physicochemical properties, and potency studies",Heliyon,2024,1
Kawabata2023,10.1016/j.jpap.2023.100172,Cocrystallization with nicotinamide promotes naproxen photodegradation in the solid-state,Journal of Photochemistry and Photobiology,2023,1
Cugovčan2017,10.1016/j.jpba.2017.01.025,Biopharmaceutical characterization of praziquantel cocrystals and cyclodextrin complexes prepared by grinding,Journal of Pharmaceutical and Biomedical Analysis,2017,1
Diniz2024,10.1021/acs.molpharmaceut.4c00393,Highly Soluble Dacarbazine Multicomponent Crystals Less Prone to Photodegradation,Molecular Pharmaceutics,2024,1
Zheng2024,10.1021/acsomega.4c03864,Cocrystal of Lutein with Improved Stability and Bioavailability,ACS Omega,2024,1
Eesam2020,10.1186/s43094-020-00083-5,Solubility enhancement of carvedilol using drug–drug cocrystallization with hydrochlorothiazide,Future Journal of Pharmaceutical Sciences,2020,1
Teraoka2019,10.1248/cpb.c18-00812,Improving the Solid-State Photostability of Furosemide by Its Cocrystal Formation,Chemical and Pharmaceutical Bulletin,2019,1
Yutani2019,10.3390/cryst9110553,Comparative Evaluation of the Photostability of Carbamazepine Polymorphs and Cocrystals,Crystals,2019,1
Xie2024,10.3390/molecules29102208,NewCocrystals of Ligustrazine: Enhancing Hygroscopicity and Stability,Molecules,2024,1
Dhakar2019,10.3390/pharmaceutics11100545,"Comparative Evaluation of Solubility, Cytotoxicity and Photostability Studies of Resveratrol and Oxyresveratrol Loaded Nanosponge",Pharmaceutics,2019,1
Nugrahani2023,10.3390/pharmaceutics15010124,"Stability and Antibiotic Potency Improvement of Levofloxacin by Producing New Salts with 2,6- and 3,5-Dihydroxybenzoic Acid and Their Comprehensive Structural Study",Pharmaceutics,2023,1
